group,experiment,algorithm,result_algorithm,evals,target_angle_rad,tip_mass_g,tip_mass_kg,damping_mode,init_file,best,median,mean,worst,std,fearate,elapsed_time,process_file
group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g,group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_dsi-c2ode_adaptive_target_1_05_mass_9_78g,dsi-c2ode,DSI-C2oDE,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.0053737880945080255,0.0053737880945080255,0.0053737880945080255,0.0053737880945080255,0.0,1.0,5752.652982560918,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260630-225214/process/group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_dsi-c2ode_adaptive_target_1_05_mass_9_78g.npz
group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g,group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_edapp_adaptive_target_1_05_mass_9_78g,edapp,EDA++,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.005553231953434925,0.005553231953434925,0.005553231953434925,0.005553231953434925,0.0,1.0,5234.720941320993,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260630-225214/process/group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_edapp_adaptive_target_1_05_mass_9_78g.npz
group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g,group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_opmwade_adaptive_target_1_05_mass_9_78g,opmwade,OPMWADE,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.008697223799147405,0.008697223799147405,0.008697223799147405,0.008697223799147405,0.0,1.0,5123.958988972008,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260630-225214/process/group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_opmwade_adaptive_target_1_05_mass_9_78g.npz
group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g,group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_rnd_adaptive_target_1_05_mass_9_78g,rnd,RND,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.019019084661755663,0.019019084661755663,0.019019084661755663,0.019019084661755663,0.0,1.0,5091.172451089136,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260630-225214/process/group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_rnd_adaptive_target_1_05_mass_9_78g.npz
group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g,group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_tpde_adaptive_target_1_05_mass_9_78g,tpde,TPDE,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.004843269566402763,0.004843269566402763,0.004843269566402763,0.004843269566402763,0.0,1.0,5221.908429645002,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260630-225214/process/group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_tpde_adaptive_target_1_05_mass_9_78g.npz
group2_adaptive_damping_three_angles_mass_9_78g,group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_1_05_mass_9_78g,opmwade,OPMWADE,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.008697223799147405,0.008697223799147405,0.008697223799147405,0.008697223799147405,0.0,1.0,5123.958988972008,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260630-225214/process/group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_1_05_mass_9_78g.npz
group2_adaptive_damping_three_angles_mass_9_78g,group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_1_57_mass_9_78g,opmwade,OPMWADE,21,1.57,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_57-adaptive.npz,0.018840134968560834,0.018840134968560834,0.018840134968560834,0.018840134968560834,0.0,1.0,5108.1636332497,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260630-225214/process/group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_1_57_mass_9_78g.npz
group2_adaptive_damping_three_angles_mass_9_78g,group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_2_09_mass_9_78g,opmwade,OPMWADE,21,2.09,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_2_09-adaptive.npz,0.03568503621428712,0.03568503621428712,0.03568503621428712,0.03568503621428712,0.0,1.0,5125.9433855600655,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260630-225214/process/group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_2_09_mass_9_78g.npz
group3_adaptive_damping_target_1_05_three_masses,group3_adaptive_damping_target_1_05_three_masses_opmwade_adaptive_target_1_05_mass_9_78g,opmwade,OPMWADE,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.008697223799147405,0.008697223799147405,0.008697223799147405,0.008697223799147405,0.0,1.0,5123.958988972008,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260630-225214/process/group3_adaptive_damping_target_1_05_three_masses_opmwade_adaptive_target_1_05_mass_9_78g.npz
group3_adaptive_damping_target_1_05_three_masses,group3_adaptive_damping_target_1_05_three_masses_opmwade_adaptive_target_1_05_mass_19_30g,opmwade,OPMWADE,21,1.05,19.3,0.0193,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.009364170337743298,0.009364170337743298,0.009364170337743298,0.009364170337743298,0.0,1.0,5101.560550760943,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260630-225214/process/group3_adaptive_damping_target_1_05_three_masses_opmwade_adaptive_target_1_05_mass_19_30g.npz
