group,experiment,algorithm,result_algorithm,evals,target_angle_rad,tip_mass_g,tip_mass_kg,damping_mode,init_file,best,median,mean,worst,std,fearate,elapsed_time,process_file,best_individual
group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g,group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_dsi-c2ode_adaptive_target_1_05_mass_9_78g,dsi-c2ode,DSI-C2oDE,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.0053737880945080255,0.0053737880945080255,0.0053737880945080255,0.0053737880945080255,0.0,1.0,5839.3576518930495,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260701-104339/process/group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_dsi-c2ode_adaptive_target_1_05_mass_9_78g.npz,"[0.011180555555555553, -0.04276373654705219, -0.15629262899920005, -0.24676429253501983, -0.22231074250705068, -0.09758115420586136, 2.671036566620132, 0.5, 0.4777541439286782, 0.5222458560713218, 0.8937248370604924, 12.695119072513704, 13.929595010082497, 0.35, 0.9052250626861249, 0.028350844224483487]"
group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g,group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_edapp_adaptive_target_1_05_mass_9_78g,edapp,EDA++,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.005553231953434925,0.005553231953434925,0.005553231953434925,0.005553231953434925,0.0,1.0,5290.246335098986,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260701-104339/process/group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_edapp_adaptive_target_1_05_mass_9_78g.npz,"[0.008514376734275545, -0.03798381548684777, -0.1343772295863895, -0.2290710830131175, -0.21551276377344275, -0.10810419294826147, 2.9956569470522103, 0.3742365956324344, 0.5883399113858153, 0.4116600886141847, 0.811544741277597, 24.419378987237394, 9.1109896629496, 0.28486805117132774, 0.7688954125223745, 0.07491884455745268]"
group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g,group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_opmwade_adaptive_target_1_05_mass_9_78g,opmwade,OPMWADE,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.0086776421177136,0.0086776421177136,0.0086776421177136,0.0086776421177136,0.0,1.0,5125.544692703057,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260701-104339/process/group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_opmwade_adaptive_target_1_05_mass_9_78g.npz,"[0.0014314959511837694, -0.02205415005711072, -0.031054360239438968, -0.0608791772254221, -0.08269069687192941, -0.09061188255971359, 1.9689000455788412, 0.2718041800385796, 0.5097211287391934, 0.4902788712608066, 0.5013248140457933, 10.402365435630255, 26.357153845511125, 0.15591825474786108, 0.8487561457803282, 0.04302132080246584]"
group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g,group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_rnd_adaptive_target_1_05_mass_9_78g,rnd,RND,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.019019084661755663,0.019019084661755663,0.019019084661755663,0.019019084661755663,0.0,1.0,5109.7060580770485,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260701-104339/process/group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_rnd_adaptive_target_1_05_mass_9_78g.npz,"[-0.000846187004540486, 0.0016725776267744324, 0.023273940971089424, -0.029707772224060264, -0.18620549443865686, -0.2432015702807126, 0.75613963685074, 0.02624548192656695, 0.5586764110636315, 0.44132358893636847, 0.35911933892411074, 6.506217452716356, 26.69201589513674, 0.23060235154160041, 0.8276210396726913, 0.101072123360737]"
group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g,group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_tpde_adaptive_target_1_05_mass_9_78g,tpde,TPDE,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.004843269566402763,0.004843269566402763,0.004843269566402763,0.004843269566402763,0.0,1.0,5237.312883005012,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260701-104339/process/group1_algorithm_comparison_adaptive_target_1_05_mass_9_78g_tpde_adaptive_target_1_05_mass_9_78g.npz,"[0.009824995426331418, -0.04207233416825902, -0.1541608344068393, -0.24888888888888874, -0.23166969921388555, -0.09496483552404875, 0.20079775230028174, 0.4098026870277346, 0.44743002427643835, 0.5525699757235616, 0.8618212758696895, 22.73102173792803, 2.0, 0.17770653472827913, 0.8968407580295119, 0.04497472842890562]"
group2_adaptive_damping_three_angles_mass_9_78g,group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_1_05_mass_9_78g,opmwade,OPMWADE,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.0086776421177136,0.0086776421177136,0.0086776421177136,0.0086776421177136,0.0,1.0,5125.544692703057,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260701-104339/process/group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_1_05_mass_9_78g.npz,"[0.0014314959511837694, -0.02205415005711072, -0.031054360239438968, -0.0608791772254221, -0.08269069687192941, -0.09061188255971359, 1.9689000455788412, 0.2718041800385796, 0.5097211287391934, 0.4902788712608066, 0.5013248140457933, 10.402365435630255, 26.357153845511125, 0.15591825474786108, 0.8487561457803282, 0.04302132080246584]"
group2_adaptive_damping_three_angles_mass_9_78g,group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_1_57_mass_9_78g,opmwade,OPMWADE,21,1.57,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_57-adaptive.npz,0.018879213544692096,0.018879213544692096,0.018879213544692096,0.018879213544692096,0.0,1.0,5143.483299560845,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260701-104339/process/group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_1_57_mass_9_78g.npz,"[0.009148873494551433, -0.01780620721100727, -0.03955105491291951, -0.11764499675055609, -0.19820217544818083, -0.22859426874375383, 1.3008460735667717, 0.15368936393582955, 0.5018872533271407, 0.4981127466728593, 0.48575292435358447, 11.022089018188165, 17.153036251790823, 0.21226737809184876, 0.8658373723213983, 0.07666180767719484]"
group2_adaptive_damping_three_angles_mass_9_78g,group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_2_09_mass_9_78g,opmwade,OPMWADE,21,2.09,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_2_09-adaptive.npz,0.03550956825485613,0.03550956825485613,0.03550956825485613,0.03550956825485613,0.0,1.0,5124.636911923997,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260701-104339/process/group2_adaptive_damping_three_angles_mass_9_78g_opmwade_adaptive_target_2_09_mass_9_78g.npz,"[0.012507838925846093, -0.00967285135109917, -0.001219840469127684, -0.06369519151507455, -0.14818160060096372, -0.21188797376733376, 2.0296409511372295, 0.19565542828020993, 0.49188972244448276, 0.5081102775555173, 0.4936567187696203, 6.462332547738151, 17.627710040408722, 0.22152009167130812, 0.7916927180544985, 0.09044914634345262]"
group3_adaptive_damping_target_1_05_three_masses,group3_adaptive_damping_target_1_05_three_masses_opmwade_adaptive_target_1_05_mass_9_78g,opmwade,OPMWADE,21,1.05,9.78,0.009779999999999999,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.0086776421177136,0.0086776421177136,0.0086776421177136,0.0086776421177136,0.0,1.0,5125.544692703057,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260701-104339/process/group3_adaptive_damping_target_1_05_three_masses_opmwade_adaptive_target_1_05_mass_9_78g.npz,"[0.0014314959511837694, -0.02205415005711072, -0.031054360239438968, -0.0608791772254221, -0.08269069687192941, -0.09061188255971359, 1.9689000455788412, 0.2718041800385796, 0.5097211287391934, 0.4902788712608066, 0.5013248140457933, 10.402365435630255, 26.357153845511125, 0.15591825474786108, 0.8487561457803282, 0.04302132080246584]"
group3_adaptive_damping_target_1_05_three_masses,group3_adaptive_damping_target_1_05_three_masses_opmwade_adaptive_target_1_05_mass_19_30g,opmwade,OPMWADE,21,1.05,19.3,0.0193,adaptive,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/init_data/PrG21InitData-target_1_05-adaptive.npz,0.009306628724469258,0.009306628724469258,0.009306628724469258,0.009306628724469258,0.0,1.0,5141.769704712089,/home/zyq/FLRM_YanExp/FLRM_ControlSystemAndSDSAHA/results/requested_experiments/20260701-104339/process/group3_adaptive_damping_target_1_05_three_masses_opmwade_adaptive_target_1_05_mass_19_30g.npz,"[0.007458215860142526, -0.0023382221444042455, 0.003001353513374017, -0.022029333113994874, -0.05358685678119628, -0.08349697624328715, 0.08463538939969588, 0.1977677553917749, 0.4921873942341591, 0.507812605765841, 0.5010277564396594, 9.349491614350896, 25.056071562907153, 0.05023905720991392, 0.8666624190082747, 0.07966960267276926]"
